,Platform Info
326,['PlayStation 5']
327,['Xbox 360']
328,['iOS (iPhone/iPad)']
329,['Nintendo Switch']
330,['PlayStation 3']
331,['Wii']
332,['PC']
333,['Nintendo Switch']
334,['Wii']
335,['PC']
336,['PlayStation 2']
337,['PC']
338,['PC']
339,['PlayStation 2']
340,['Xbox One']
341,['PC']
342,['PC']
343,['PlayStation 2']
344,['iOS (iPhone/iPad)']
345,['PC']
346,['iOS (iPhone/iPad)']
347,['PSP']
348,['PC']
349,['PC']
350,['Wii']
351,['iOS (iPhone/iPad)']
352,['Game Boy Advance']
353,['iOS (iPhone/iPad)']
354,['PlayStation 4']
355,['PlayStation 3']
356,['PlayStation Vita']
357,['PC']
358,['PlayStation 4']
359,['Nintendo Switch']
360,['PC']
361,['PC']
362,['PC']
363,['PC']
364,['PC']
365,['PlayStation 2']
366,['PC']
367,['iOS (iPhone/iPad)']
368,['PSP']
369,['PC']
370,['PlayStation 3']
371,['PC']
372,['Nintendo Switch']
373,['Xbox One']
374,['PC']
375,['PlayStation 4']
376,['PSP']
377,['Xbox']
378,['iOS (iPhone/iPad)']
379,['Xbox 360']
380,['GameCube']
381,['PC']
382,['Xbox']
383,['Xbox One']
384,['Nintendo Switch']
385,['iOS (iPhone/iPad)']
386,['Game Boy Advance']
387,['Wii']
388,['PC']
389,['PC']
390,['PC']
391,['PC']
392,['iOS (iPhone/iPad)']
393,['iOS (iPhone/iPad)']
394,['iOS (iPhone/iPad)']
395,['iOS (iPhone/iPad)']
396,['3DS']
397,['Nintendo Switch']
398,['Xbox']
399,['Xbox']
400,['PlayStation 4']
401,['PC']
402,['Xbox 360']
403,['PlayStation 4']
404,['PlayStation 3']
405,['Xbox']
406,['PlayStation 2']
407,['Nintendo Switch']
408,['Xbox One']
409,['Wii U']
410,['PSP']
411,['Nintendo Switch']
412,['iOS (iPhone/iPad)']
413,['PlayStation Vita']
414,['PC']
415,['DS']
416,['Nintendo Switch']
417,['PlayStation 3']
418,['PC']
419,['PlayStation 2']
420,['iOS (iPhone/iPad)']
421,['PlayStation 4']
422,['3DS']
423,['iOS (iPhone/iPad)']
424,['Nintendo Switch']
425,['PlayStation']
426,['Nintendo Switch']
427,['PC']
428,['3DS']
429,['PlayStation 4']
430,['PlayStation 3']
431,['PlayStation 4']
432,['Game Boy Advance']
433,['PC']
434,['Xbox 360']
435,['PC']
436,['DS']
437,['Xbox']
438,['PC']
439,['PC']
440,['Game Boy Advance']
441,['PC']
442,['DS']
443,['Xbox 360']
444,['PlayStation 2']
445,['PC']
446,['PC']
447,['PC']
448,['iOS (iPhone/iPad)']
449,['PlayStation 4']
450,['PC']
451,['PlayStation 2']
452,['PC']
453,['DS']
454,['Wii']
455,['PC']
456,['Wii']
457,['GameCube']
458,['PC']
459,['Xbox One']
460,['PC']
461,['PlayStation 2']
462,['PC']
463,['PC']
464,['PC']
465,['iOS (iPhone/iPad)']
466,['Nintendo Switch']
467,['PlayStation 2']
468,['PlayStation 2']
469,['Nintendo Switch']
470,['PC']
471,['PlayStation 2']
472,['PC']
473,['GameCube']
474,['PlayStation 2']
475,['iOS (iPhone/iPad)']
476,['PC']
477,['Dreamcast']
478,['Xbox']
479,['Xbox One']
480,['PC']
481,['PlayStation 4']
482,['PC']
483,['PlayStation 2']
484,['PC']
485,['PC']
486,['PlayStation 4']
487,['PlayStation 2']
488,['PlayStation']
489,['iOS (iPhone/iPad)']
490,['PlayStation Vita']
491,['PC']
492,['iOS (iPhone/iPad)']
493,['Game Boy Advance']
494,['Xbox 360']
495,['PlayStation 3']
496,['PlayStation 3']
497,['iOS (iPhone/iPad)']
498,['Nintendo Switch']
499,['Nintendo 64']
500,['PlayStation 2']
501,['PSP']
502,['PC']
503,['PlayStation 3']
504,['PC']
505,['Xbox 360']
506,['Game Boy Advance']
507,['Nintendo 64']
508,['Wii']
509,['iOS (iPhone/iPad)']
510,['iOS (iPhone/iPad)']
511,['PlayStation 2']
512,['PlayStation 4']
513,['PC']
514,['PC']
515,['PC']
516,['PlayStation 4']
517,['PlayStation 2']
518,['PC']
519,['Nintendo 64']
520,['Nintendo Switch']
521,['PlayStation 3']
523,['PlayStation 4']
524,['PlayStation 3']
525,['DS']
526,['Xbox']
527,['PC']
528,['PC']
529,['Nintendo Switch']
530,['iOS (iPhone/iPad)']
531,['Xbox 360']
532,['PlayStation 3']
533,['PSP']
534,['iOS (iPhone/iPad)']
535,['iOS (iPhone/iPad)']
536,['Xbox 360']
537,['3DS']
538,['PC']
539,['PC']
540,['PC']
541,['PC']
542,['3DS']
543,['PlayStation 4']
544,['Dreamcast']
545,['PC']
546,['DS']
547,['PC']
548,['PlayStation 2']
549,['PlayStation Vita']
550,['DS']
551,['iOS (iPhone/iPad)']
552,['Xbox One']
553,['3DS']
554,['PlayStation Vita']
555,['DS']
556,['PlayStation 3']
557,['PC']
558,['PC']
559,['PlayStation Vita']
560,['DS']
561,['PlayStation 4']
562,['PlayStation 3']
563,['PC']
564,['PlayStation 2']
565,['iOS (iPhone/iPad)']
566,['PC']
567,['PC']
568,['PC']
569,['PlayStation 4']
570,['Nintendo Switch']
571,['PC']
572,['Wii']
573,['Xbox One']
574,['PlayStation 4']
575,['iOS (iPhone/iPad)']
576,['PlayStation 2']
577,['iOS (iPhone/iPad)']
578,['PC']
579,['PC']
580,['Xbox One']
581,['PC']
582,['Game Boy Advance']
583,['PlayStation 3']
584,['DS']
585,['PC']
586,['Xbox One']
587,['Xbox 360']
588,['iOS (iPhone/iPad)']
589,['PC']
590,['Nintendo Switch']
591,['Xbox One']
592,['PlayStation 3']
593,['3DS']
594,['iOS (iPhone/iPad)']
595,['Xbox One']
596,['PC']
597,['Xbox 360']
598,['PSP']
599,['PSP']
600,['Xbox 360']
601,['PC']
602,['PSP']
603,['PC']
604,['PC']
605,['PC']
606,['Xbox 360']
607,['PC']
608,['PC']
609,['Xbox']
610,['PlayStation 4']
611,['PC']
612,['PlayStation 2']
613,['Nintendo Switch']
614,['PC']
615,['GameCube']
616,['PlayStation 5']
617,['PlayStation 2']
618,['DS']
619,['PC']
620,['DS']
621,['Xbox 360']
622,['PC']
623,['PlayStation 4']
624,['PC']
625,['PC']
626,['PlayStation 3']
627,['Xbox 360']
628,['Xbox 360']
629,['DS']
630,['PC']
631,['PC']
632,['PlayStation Vita']
633,['PC']
634,['Game Boy Advance']
635,['Xbox']
636,['Xbox Series X']
637,['PC']
638,['PC']
639,['iOS (iPhone/iPad)']
640,['PC']
641,['PlayStation 2']
642,['PlayStation 4']
643,['PlayStation Vita']
644,['Nintendo Switch']
645,['PC']
646,['Xbox 360']
647,['PC']
648,['Game Boy Advance']
649,['Nintendo Switch']
650,['Wii']
651,['Nintendo Switch']
652,['PlayStation Vita']
653,['PlayStation 5']
654,['Xbox One']
655,['PlayStation 3']
656,['Nintendo Switch']
657,['PC']
658,['PC']
659,['Wii']
660,['iOS (iPhone/iPad)']
661,['iOS (iPhone/iPad)']
662,['GameCube']
663,['PC']
664,['Nintendo Switch']
665,['Game Boy Advance']
666,['iOS (iPhone/iPad)']
667,['PC']
668,['Wii']
669,['iOS (iPhone/iPad)']
670,['Xbox One']
671,['PlayStation 3']
672,['DS']
673,['PlayStation 4']
674,['PC']
675,['PC']
676,['PC']
677,['PC']
678,['PC']
679,['PC']
680,['DS']
681,['Wii']
682,['PC']
683,['3DS']
684,['iOS (iPhone/iPad)']
685,['DS']
686,['PC']
687,['DS']
688,['PlayStation']
689,['Game Boy Advance']
690,['PlayStation 2']
691,['Xbox One']
692,['Wii']
693,['PlayStation 2']
694,['Game Boy Advance']
695,['PC']
696,['Nintendo Switch']
697,['PC']
698,['Xbox 360']
699,['PlayStation 2']
700,['Xbox 360']
701,['PC']
702,['PC']
704,['iOS (iPhone/iPad)']
705,['DS']
706,['PC']
707,['PC']
708,['PlayStation 5']
709,['PlayStation Vita']
710,['PlayStation Vita']
711,['PlayStation 4']
712,['PlayStation 2']
713,['PC']
714,['iOS (iPhone/iPad)']
715,['Xbox 360']
716,['PC']
717,['Xbox 360']
718,['Dreamcast']
719,['PC']
720,['PC']
721,['iOS (iPhone/iPad)']
722,['PC']
723,['iOS (iPhone/iPad)']
724,['PC']
725,['PC']
726,['PC']
727,['PC']
728,['PC']
729,['PC']
730,['Game Boy Advance']
731,['Wii']
732,['PC']
733,['PlayStation 4']
734,['Xbox One']
735,['PlayStation 4']
736,['Xbox 360']
737,['PSP']
738,['PC']
739,['PC']
740,['PlayStation 4']
741,['Nintendo 64']
742,['PC']
743,['PC']
744,['DS']
745,['PC']
746,['Nintendo Switch']
747,['PC']
748,['Wii']
749,['PlayStation 4']
750,['Xbox One']
751,['PC']
752,['PlayStation 2']
753,['PlayStation 3']
754,['PC']
755,['iOS (iPhone/iPad)']
756,['PlayStation 2']
757,['PC']
758,['iOS (iPhone/iPad)']
759,['PC']
760,['Xbox One']
761,['iOS (iPhone/iPad)']
762,['PC']
763,['PC']
764,['PC']
765,['PC']
766,['Xbox']
767,['PlayStation 4']
768,['Xbox One']
769,['PC']
770,['PlayStation 2']
771,['PlayStation']
772,['iOS (iPhone/iPad)']
773,['Nintendo 64']
774,['PlayStation 5']
775,['iOS (iPhone/iPad)']
776,['Wii']
777,['Nintendo Switch']
778,['Xbox One']
779,['PlayStation 4']
780,['Xbox']
781,['Xbox']
782,['PlayStation 5']
783,['PC']
784,['PC']
785,['PC']
786,['PlayStation 3']
787,['Wii']
788,['PlayStation 4']
789,['PlayStation 3']
790,['PlayStation 2']
791,['PlayStation 4']
792,['3DS']
793,['PC']
794,['3DS']
795,['PlayStation 2']
796,['PC']
797,['PC']
798,['PlayStation 4']
799,['Xbox 360']
800,['PlayStation']
801,['PlayStation 3']
802,['PlayStation 2']
803,['PlayStation 4']
804,['PlayStation 4']
805,['Nintendo Switch']
806,['PlayStation 3']
807,['Wii']
808,['iOS (iPhone/iPad)']
809,['PC']
810,['Wii U']
811,['Nintendo Switch']
812,['PlayStation']
813,['PlayStation 2']
815,['PlayStation 3']
816,['PlayStation 4']
